epoch,loss,acc
1,3.3814747939034113,0.14887927827380953
2,2.6681111577957397,0.27999441964285715
3,1.9453452503870403,0.4407009548611111
4,1.7052425486700875,0.5002945188492064
5,1.5583461769043454,0.5304516989087301
6,1.458815088347783,0.5476733010912699
7,1.4003348113998535,0.5598958333333334
8,1.3508780608101496,0.571227058531746
9,1.3108288702510653,0.5836123511904762
10,1.2689735728596885,0.5949513268849206
11,1.2266495014939989,0.6059802827380952
12,1.1898606405371712,0.6165054563492064
13,1.156378430033487,0.6258293030753969
14,1.133634626865387,0.6317351810515873
15,1.1008011727106004,0.6434616815476191
16,1.0720762515824938,0.6522119915674603
17,1.0464131940924932,0.6612258184523809
18,1.0211562140593453,0.6684415302579365
19,1.0008334309335738,0.6735723586309523
20,0.9782809402261462,0.6825396825396826
21,0.9570227899248638,0.6883138020833334
22,0.9398984171095348,0.6935686383928571
23,0.9187287991009061,0.7000170510912699
24,0.9016085763772329,0.7056206597222222
25,0.8842734774899861,0.7118443080357143
26,0.8639435134236775,0.7184864831349206
27,0.8450624469726805,0.7234623015873016
28,0.8249382040803395,0.7302827380952381
29,0.8099127251004415,0.735320560515873
30,0.7927811741828918,0.7383975074404762
31,0.7784627808464898,0.7454659598214286
32,0.7601090664901431,0.7503332713293651
33,0.7465364450500125,0.7548053075396826
34,0.7328671760975368,0.7582000248015873
35,0.7174589889390128,0.7650824652777778
36,0.7057527076630365,0.767640128968254
37,0.6938286064163087,0.7712983630952381
38,0.6810742228750198,0.7761424231150794
39,0.6659656290024046,0.7801261780753969
40,0.6555969090688796,0.7833736359126984
41,0.6435228524700044,0.7875744047619048
42,0.6288246886124687,0.7923022073412699
43,0.6164524611972627,0.7975647941468254
44,0.6050927121014822,0.8008587549603174
45,0.5928945460962871,0.804168216765873
46,0.5791790958434816,0.8080977182539683
47,0.5675570756670029,0.8125465029761905
48,0.5568740041483016,0.8144298735119048
49,0.5423713487292093,0.8199482266865079
50,0.532810111840566,0.8238699776785714
51,0.522540649014806,0.8272491939484127
52,0.5139717154559635,0.8287915426587301
53,0.5042967914588867,0.8316592261904762
54,0.4972407115357263,0.8351779513888888
55,0.48716921276516384,0.837952628968254
56,0.4775740956030195,0.8396189856150794
57,0.4693118884922966,0.8440755208333334
58,0.46255189842647976,0.8454086061507936
59,0.4518126429073394,0.8488653273809523
60,0.44401812624363673,0.85205078125
61,0.43695485355362057,0.8541124131944444
62,0.4298594111487979,0.856383308531746
63,0.41758136522202266,0.8597702752976191
64,0.4147436637727041,0.8603515625
65,0.4091223634424664,0.8631262400793651
66,0.40000018832229434,0.8657924107142857
67,0.39173844764156945,0.8695746527777778
68,0.3861207829581367,0.8705124627976191
69,0.38215760531879606,0.8723183283730159
70,0.37779486108393895,0.8739846850198413
71,0.37004888246929835,0.875519283234127
72,0.3604617565870285,0.8789527529761905
73,0.35696810862374684,0.8797510540674603
74,0.35134247867834,0.8814949156746031
75,0.3464896520451894,0.8834247891865079
76,0.339565414994482,0.8859514508928571
77,0.33961797541096095,0.8857189360119048
78,0.3336302766960765,0.8884471106150794
79,0.32817327526826706,0.8890904017857143
80,0.3209404240524958,0.8921828497023809
81,0.3176749206724621,0.8928648933531746
82,0.3161285605932039,0.8945467509920635
83,0.3109129012104065,0.8952597966269841
84,0.30209679665073513,0.8980577256944444
85,0.3007205491737714,0.8998558407738095
86,0.30027749200188925,0.8985770089285714
87,0.29941088978260283,0.8999100942460317
88,0.2924791192488065,0.9010261656746031
89,0.2899283216822715,0.9025220114087301
90,0.28711606432048103,0.9029792906746031
91,0.2802825885869208,0.9059167286706349
92,0.275405391341164,0.9075520833333334
93,0.2773332096754558,0.9072265625
94,0.2736101085467944,0.9074048239087301
95,0.26771905864515,0.9096524677579365
96,0.2687808152229067,0.9099547371031746
97,0.2622512166225721,0.9115823412698413
98,0.25801846609702184,0.9128456721230159
99,0.25683270264712593,0.9127991691468254
100,0.2556562599918199,0.9137137276785714
